OBJECTID,Join_Count,TARGET_FID,route_id,id_num,CE01_r,CE02_r,CE03_r,CNS01_r,CNS02_r,CNS03_r,CNS04_r,CNS05_r,CNS06_r,CNS07_r,CNS08_r,CNS09_r,CNS10_r,CNS11_r,CNS12_r,CNS13_r,CNS14_r,CNS15_r,CNS16_r,CNS17_r,CNS18_r,CNS19_r,CNS20_r,CR01_r,CR02_r,CR03_r,CR04_r,CR05_r,CR07_r,CT01_r,CT02_r,CD01_r,CD02_r,CD03_r,CD04_r,CS01_r,CS02_r,CE01_w,CE02_w,CE03_w,CNS01_w,CNS02_w,CNS03_w,CNS04_w,CNS05_w,CNS06_w,CNS07_w,CNS08_w,CNS09_w,CNS10_w,CNS11_w,CNS12_w,CNS13_w,CNS14_w,CNS15_w,CNS16_w,CNS17_w,CNS18_w,CNS19_w,CNS20_w,CR01_w,CR02_w,CR03_w,CR04_w,CR05_w,CR07_w,CT01_w,CT02_w,CD01_w,CD02_w,CD03_w,CD04_w,CS01_w,CS02_w,Shape_Length,Shape_Area
63,835,63,05192014download:63,63,4803,8563,7376,68,32,138,914,1089,886,2139,611,453,1434,481,1181,311,2283,1808,2846,369,2020,703,976,17766,1424,598,587,39,328,14869,5873,2321,3732,5122,4239,10574,10168,14763,23290,32305,67,1282,6074,3116,2029,1511,2346,912,3176,6558,1357,5519,543,8126,3706,5957,2552,6690,5895,2942,61076,4272,1559,2251,123,1077,52073,18285,6794,12487,18069,18067,36611,33747,86256.372333478983000,32028061.801936220000000
64,956,64,05192014download:64,64,5547,9379,6987,137,34,167,1048,1292,980,2410,770,381,1294,459,1204,287,2304,1798,2951,399,2213,685,1100,17990,2000,715,822,32,354,14900,7013,2792,4031,5305,4125,11217,10696,12080,20550,25146,25,6,8,1186,1356,1811,3937,1598,437,12144,2563,4158,189,4684,936,7812,1165,10574,1367,1820,49733,3283,975,2742,116,927,44564,13212,5764,9788,14427,14840,28647,29129,109823.846997672900000,39828146.176762551000000
65,773,65,05192014download:65,65,5157,7195,9059,79,37,140,804,1501,936,2470,609,429,1467,479,1438,272,1920,2208,2458,474,2268,679,743,18452,940,453,1161,42,363,17853,3558,1740,3589,4984,4926,11255,10156,18395,22922,22495,13,12,20,1087,529,2490,11663,397,1579,5962,1253,4002,1139,4360,2785,8852,1276,13578,1723,1092,56823,2590,1243,2061,99,996,51228,12584,5232,10230,14346,13912,29457,34355,97954.652392657328000,35221527.838619985000000
66,645,66,05192014download:66,66,4136,7835,6726,78,38,137,795,1338,852,2020,695,366,1282,425,1024,261,1834,1879,2165,374,1662,539,933,14361,2375,632,950,52,327,13030,5667,2144,3283,4368,3605,9597,9100,5420,6087,4321,5,2,1,527,242,655,4033,336,282,568,325,1224,0,1253,326,980,126,3708,342,893,13556,885,400,609,41,337,11196,4632,1533,2625,3114,2729,8085,7743,72560.247665234550000,26155027.071632877000000
67,655,67,05192014download:67,67,3355,5617,4815,73,25,102,562,730,593,1250,466,277,903,316,849,168,1469,1290,1841,261,1254,486,872,11528,1205,418,386,20,230,9410,4377,1748,2497,3337,2845,7263,6524,9716,24711,37106,9,1280,958,1734,1094,519,1149,135,2736,6281,981,4186,199,2300,434,15233,2832,4052,3358,22063,61868,4493,1345,2595,148,1084,54321,17212,5762,12648,21188,18815,34042,37491,52622.089080886421000,19566823.107154567000000
68,635,68,05192014download:68,68,3957,6037,6623,55,30,107,625,805,781,1783,429,319,1167,447,1145,251,1610,1458,2431,326,1559,573,716,14393,939,316,688,36,245,13664,2953,1475,3076,4274,4028,8254,8363,7596,12717,13800,0,1,1,397,123,1896,4074,108,191,2409,1482,1859,130,1985,1615,13214,432,3401,632,163,30047,1591,545,1398,63,469,28040,6073,2644,5769,8793,8783,13683,20430,85558.024605303115000,29110999.336312670000000
69,726,69,05192014download:69,69,4689,6995,9565,33,22,143,710,1304,987,2319,581,456,1705,524,1476,314,1938,2094,2635,567,2106,650,685,18604,914,388,946,45,352,18282,2967,1578,3547,5341,5330,10613,10636,8965,14482,17420,30,14,4,1881,4667,1116,6623,274,489,3608,1204,2664,228,4368,568,6327,102,4009,2220,471,36024,1831,724,1621,63,604,33670,7197,3070,6864,10130,9744,21765,19102,95251.030424770535000,32417056.909215130000000
70,616,70,05192014download:70,70,5015,8432,6645,119,30,149,940,1012,881,2392,600,372,1284,389,1219,293,2030,1617,2918,342,2050,628,827,17011,1286,541,884,50,320,15308,4784,2032,3649,5032,4270,10016,10076,7840,12500,8372,5,7,1,1871,231,1102,4133,147,254,1036,494,2492,411,2020,2486,6347,49,2740,2588,298,24736,1723,749,995,55,454,21568,7144,2726,5011,6881,5681,13054,15658,58109.949965988540000,21778960.582758423000000
71,460,71,05192014download:71,71,3608,6004,6691,50,25,116,751,1589,760,1771,511,335,1100,326,938,218,1461,1527,1919,373,1495,467,571,13488,981,434,1061,39,300,13302,3001,1380,2863,4120,3611,8332,7971,3832,5904,4869,9,6,1,347,186,470,2192,43,88,325,357,534,14,1226,267,6082,152,2045,192,69,12352,658,343,996,32,224,11513,3092,1296,2474,3598,3082,5908,8697,58599.680138115371000,20708968.260299258000000
72,418,72,05192014download:72,72,3288,5146,8527,49,20,136,619,1509,941,1662,749,388,1201,371,1141,282,1446,1723,1907,298,1378,476,665,14405,1065,320,914,32,225,14617,2344,1253,3081,4396,4552,8531,8430,4492,4273,2302,62,0,0,154,26,317,2149,65,149,468,180,702,351,224,168,2762,237,2459,532,62,9791,510,200,354,24,188,8661,2406,982,1658,2274,1839,4446,6621,60514.476054314189000,19599673.650957055000000
73,387,73,05192014download:73,73,2359,4184,2554,191,12,76,462,673,465,1246,451,130,378,171,351,83,802,721,1072,152,921,268,472,7656,774,197,286,17,167,4218,4879,1518,1669,1904,1294,4758,4339,1651,2063,1877,25,0,0,61,22,72,1142,12,11,98,46,104,4,288,1718,455,19,772,136,606,4827,376,124,176,9,79,3628,1963,656,1000,1360,994,2394,3197,54220.037644003496000,17749347.973919760000000
74,170,74,05192014download:74,74,1289,2321,1371,35,9,21,288,380,208,632,145,88,262,113,254,58,535,388,584,119,553,150,159,4169,350,188,156,15,103,3135,1846,655,910,1163,803,2534,2447,3214,3981,2517,7,9,201,564,497,480,1933,73,57,422,959,588,4,1159,51,278,188,1463,515,264,8545,452,235,311,20,149,7234,2478,1044,1839,2235,1564,5591,4121,37194.732064585587000,8167886.350001221500000
75,178,75,05192014download:75,75,573,852,419,6,3,11,94,135,58,197,64,23,111,43,90,20,244,124,222,37,205,79,78,1476,216,66,54,4,28,975,869,303,372,445,279,1039,805,4845,20960,29888,2,1,958,655,85,374,661,11,540,5598,835,2350,116,413,458,793,2687,1893,421,36842,47886,4025,1128,1686,115,853,41869,13824,4040,10489,18313,14536,28605,27088,18090.970522274994000,4839706.153052282500000
76,157,76,05192014download:76,76,466,531,404,2,1,8,57,55,48,143,44,24,87,33,83,25,200,104,147,36,155,80,69,1093,189,57,37,5,20,1034,367,162,287,355,229,894,507,6144,22542,32599,5,1269,958,747,557,416,245,21,589,6063,855,2892,129,634,400,773,2738,2941,2002,37051,52833,4314,1235,1828,124,951,46197,15088,4541,11495,19696,15814,31627,29658,8399.757367099888100,3247172.637131958300000
77,135,77,05192014download:77,77,1158,1919,1550,18,8,34,198,255,199,575,137,96,325,105,294,48,449,360,486,125,603,164,148,4097,157,116,175,14,68,3604,1023,406,786,998,809,2468,2159,3353,3982,3794,2,0,1,39,15,214,915,440,277,2521,280,479,705,731,102,233,155,2689,410,921,9801,595,173,331,23,206,8840,2289,830,1713,2495,2271,5900,5229,21653.774566349719000,6127682.937951868400000
78,34,78,05192014download:78,78,972,1126,995,27,5,21,116,158,125,488,86,58,149,59,188,35,271,345,326,60,401,95,80,2577,187,70,193,5,61,2502,591,284,473,662,577,1734,1359,946,407,271,0,0,0,0,32,2,20,0,30,41,18,9,1,39,13,256,8,961,185,9,1343,154,45,49,1,32,1123,501,211,272,321,227,726,898,6495.170411075316200,2025969.060578947200000
79,74,79,05192014download:79,79,819,941,927,23,4,17,87,132,109,426,73,54,129,50,168,26,232,325,280,53,346,84,69,2324,151,43,117,5,47,2268,419,216,411,597,522,1504,1183,2429,2163,2007,0,0,1,2,73,71,302,2,25,2385,25,151,4,105,41,256,10,2474,294,378,5661,473,124,210,9,122,5021,1578,503,919,1313,1173,3101,3498,7136.951321431181000,2957589.128363835600000
80,75,80,05192014download:80,80,831,948,934,23,4,17,88,133,109,426,75,54,129,52,172,26,236,328,281,53,351,85,71,2342,153,44,122,5,47,2288,425,219,417,602,525,1514,1199,2429,2163,2007,0,0,1,2,73,71,302,2,25,2385,25,151,4,105,41,256,10,2474,294,378,5661,473,124,210,9,122,5021,1578,503,919,1313,1173,3101,3498,7136.404751033760500,2987717.271387649200000
